,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id,average_watts,weighted_average_watts,max_watts,average_cadence,suffer_score,average_speed,max_speed,average_temp
0,6867305226,Evening Run,2022-03-22T19:46:37Z,Run,3218.7,900,900,0,[],,0,0,0,0,0,3.576,0,0
1,6867306911,Evening Activity,2022-03-22T19:32:48Z,WeightTraining,0.0,1800,1800,0,[],,0,0,0,0,0,0.0,0,0
2,6861971825,Night Run,2022-03-21T21:00:52Z,Run,3218.7,900,900,0,[],,0,0,0,0,0,3.576,0,0
3,6856285842,Jog through hardy park,2022-03-20T16:17:31Z,Run,4023.4,1200,1200,0,[],,0,0,0,0,0,3.353,0,0
4,6850020295,Afternoon Ride,2022-03-19T13:33:28Z,Ride,5885.5,685,2308,109.0,"[39.195043640211225, -77.29191589169204]",2022-03-19-173328-ELEMNT BOLT 7531-300-0.fit,165.7,201,683,67.1,22.0,8.592,15.84,18
5,6854525461,Afternoon Ride,2022-03-19T13:00:00Z,Ride,16093.5,1440,1440,0,[],,0,0,0,0,0,11.176,0,0
6,6850099143,Lunch Ride,2022-03-19T12:31:16Z,Ride,6567.7,1029,1358,126.0,"[39.19318336062133, -77.29425377212465]",2022-03-19-163115-ELEMNT BOLT 7531-299-0.fit,139.1,165,566,58.7,22.0,6.383,13.726,27
7,6848897508,Morning Ride,2022-03-19T10:23:17Z,Ride,28127.8,2612,2656,540.0,"[39.19579239562154, -77.2914794459939]",2022-03-19-142317-ELEMNT BOLT 7531-298-0.fit,237.3,264,767,79.7,148.0,10.769,17.59,18
8,6848929033,Morning Ride,2022-03-19T09:56:00Z,Ride,6035.9,861,861,111.0,"[39.19300440698862, -77.29437748901546]",2022-03-19-135552-ELEMNT BOLT 7531-297-0.fit,153.2,196,558,61.1,16.0,7.01,13.434,18
9,6845346569,Afternoon Ride,2022-03-18T16:40:02Z,Ride,44099.6,5444,11217,97.0,"[38.90855119563639, -77.08411593921483]",2022-03-18-203937-ELEMNT BOLT 7531-296-0.fit,173.1,192,716,76.1,0,8.101,15.091,19
10,6833980734,Lunch Ride,2022-03-16T11:47:53Z,Ride,47563.0,4899,4978,101.0,"[38.90851213596761, -77.08448792807758]",2022-03-16-154752-ELEMNT BOLT 7531-295-0.fit,189.9,220,750,81.0,193.0,9.709,15.776,22
11,6830502145,Afternoon Ride,2022-03-15T17:28:07Z,Ride,46657.2,5633,5858,95.0,"[38.908565528690815, -77.0844726730138]",2022-03-15-212806-ELEMNT BOLT 7531-294-0.fit,181.4,211,573,75.8,166.0,8.283,13.218,16
12,6824903357,Afternoon Ride,2022-03-14T16:46:08Z,Ride,36960.6,4372,4602,134.0,"[38.90856854617596, -77.08416597917676]",2022-03-14-204607-ELEMNT BOLT 7531-293-0.fit,196.1,230,489,77.0,122.0,8.454,13.78,14
13,6820335860,Zwift - Watopia,2022-03-13T17:00:56Z,VirtualRide,37688.0,3623,3623,58.0,"[-11.639879699796438, 166.98665435425937]",zwift-activity-1034286979459596336.fit,191.7,192,258,80.6,0,10.402,12.538,0
14,6814218354,Zwift - Watopia,2022-03-12T14:33:06Z,VirtualRide,39034.7,3610,3630,58.0,"[-11.640970688313246, 166.99663560837507]",zwift-activity-1033518015745884160.fit,215.7,217,291,82.3,91.0,10.813,12.8,0
15,6809226911,Afternoon Ride,2022-03-11T16:29:16Z,Ride,29109.6,3612,3686,519.0,"[40.72594829834998, -75.23281093686819]",3d97704b-bc1b-4863-8f99-ce30ef74420c.fit,206.3,228,544,76.6,0,8.059,15.198,10
